"taskid","replications","replications_used","parnames","method","default_priors","n","time","mean","median","sd","ll","ul","rhat","ess_bulk","ess_tail","mcse_mean","mcse_median","mcse_ll","mcse_ul","summary_output_type"
9,10,9,"mean(beta[2,1])","BMLVAR",FALSE,200,200,0.0505832732777778,0.0505633333333333,0.0119894571027898,0.0270521388888889,0.0741511944444445,1.00002656449796,28691.2443755312,35186.7432582869,7.07793530838213e-05,8.33333333333332e-05,0.000182777777777778,0.000175555555555556,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"mean(beta[3,1])","BMLVAR",FALSE,200,200,0.12986755375,0.129878333333333,0.0120821546449794,0.106227722222222,0.153585777777778,1.00002442802378,29149.7742292497,35857.2892336272,7.07647359278478e-05,8.33333333333349e-05,0.00017111111111111,0.000168333333333332,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"mean(beta[4,1])","BMLVAR",FALSE,200,200,0.183277056833333,0.183274444444444,0.0119455109563353,0.15982875,0.20678225,1.00005021943911,28736.5240346592,35512.2808332731,7.04364444603778e-05,8.55555555555563e-05,0.000166666666666662,0.000175555555555555,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"mean(beta[1,2])","BMLVAR",FALSE,200,200,0.132891250527778,0.132883888888889,0.0117053433611953,0.109968694444444,0.155845694444444,1.00001639359875,28136.1395153373,35141.6538280167,6.97777225589076e-05,8.16666666666697e-05,0.000160555555555554,0.000175000000000002,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"mean(beta[2,2])","BMLVAR",FALSE,200,200,0.293029731305556,0.293063888888889,0.0119995351642614,0.269408722222222,0.316517888888889,1.00007732987801,28238.5077760128,35466.1791291375,7.14048800720284e-05,8.49999999999956e-05,0.000164444444444439,0.000166111111111108,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"mean(beta[3,2])","BMLVAR",FALSE,200,200,0.116979099805556,0.116951666666667,0.0122998809392375,0.092851,0.141106777777778,1.00003598454114,28853.4177274063,35550.7106824756,7.24110328635229e-05,8.6666666666667e-05,0.00018,0.000173333333333332,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"mean(beta[4,2])","BMLVAR",FALSE,200,200,0.186330595083333,0.186324444444444,0.0119725054522017,0.162800972222222,0.209754472222222,1.00005306957281,28726.1287288424,35969.1561455194,7.06203494899644e-05,8.49999999999987e-05,0.000170000000000005,0.00016111111111111,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"mean(beta[1,3])","BMLVAR",FALSE,200,200,0.120219923555556,0.120233888888889,0.0121867915277832,0.09630875,0.144106833333333,1.00006030860905,28367.3075109625,35575.6719708255,7.22891491168259e-05,8.61111111111124e-05,0.000167777777777777,0.000171666666666668,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"mean(beta[2,3])","BMLVAR",FALSE,200,200,0.147153192194444,0.147128888888889,0.0120261168866411,0.123577555555556,0.17079125,1.00004702188866,28382.6316531826,35404.6127753665,7.13673080556564e-05,8.33333333333349e-05,0.00017611111111111,0.000188333333333334,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"mean(beta[3,3])","BMLVAR",FALSE,200,200,0.295354103833333,0.295387777777778,0.0119496146052348,0.271872083333333,0.318721194444444,1.00004688152053,28050.7220751327,35448.1999581187,7.13250915230766e-05,8.44444444444425e-05,0.000180555555555551,0.000167222222222223,"summary-fit-mplus-k4-priors-diagnostics"
